data,label
"Hàng chuẩn, IMEI máy và vỏ trùng nhau. Lần đầu dùng Iphone nên thấy hơi khó dùng. Chạy Giá sale 12.12 so với mua offline rất rẻ. Hài lòng",0
không có giác chia,2
"Sản phẩm đúng như mô tả. 
Nguyên seal, chưa active. 
Thời gian giao hàng cũng nhanh.",0
Đã dùng hơn năm. Nói chung đáng đồng tiền bát gạo.,0
"Mình đặt hàng giao hoả tốc trong ngày. Nhưng đến tối 17h30 mình mới nhận được hàng. Trong lúc vội vã đã không kiểm tra bên trong. Kết quả là vỏ hộp bên trong đã bị bóc seal. Mình đã từng mua iphone nguyên seal của Lazada, nhưng thật sự lần này mình không hài lòng lắm. Mình có email để được hỗ trợ nhưng không nhận được câu trả lời thoả đáng nào từ bên bộ phận giao hàng. ",2
"không có gì để chê về sản phẩm cả, giá tốt hơn cả xách tay, tuy nhiên về bên kho và giao hàng có chút vđề, đặt hàng từ 00h30' có áp mã giảm giá còn 1960khôngsáng mà tới 12h trưa vẫn chưa hề được xác nhận, đặt thêm 1 cái không áp mã giảm nữa từ 9h sáng thì 11rưỡi đã được bên giao hàng alo rồi, điện lên LZD phàn nàn thì hứa hẹn và bảo kiên nhẫn chờ đợi, tới 4 rưỡi chiều thì giao. cảm giác LZD phân biệt kiện có MGG và không có mã! nói chung sau khi khiếu nại thì vẫn giao nhanh trong ngày!
1 vđề nữa là giao hàng không cho đồng kiểm như mình gọi điện lên LZD lấy lí do là kiện giá trị lớn??? 
ngoài 2 vđề trên thì mọi hứ đều ok, nên mua!",1
"Hàng nguyên seal chưa active, giao hàng nhanh. Đóng gói cẩn thận. Dùng hôm giờ được 3 tuần và chưa thấy vấn đề gì. Cảm thấy hài lòng",0
"Hàng đẹp, chuẩn VN/A. Giao cực lẹ luôn. Tuy nhiên trong hộp lại thiếu mất Lightning to 3.5mm Headphone JackhôngAdapter. Liên hệ thì bảo không giải quyết vì đã xài máy rồi ?? ",1
"Mua hàng cách đây khoảng hai tháng, mã VN. Shop đóng gói khá kĩ, xài ổn, không thấy có vấn đề gì. Tốt.",0
tôi mua 3 cái iphone rồi đến cái này thì bị lỗi. cảm giác hụt hẫng quá. mong lazada có chính sách đổi mới cho tôi,2
Hàng chính hãng. Ngay sau khi sử dụng đã nhận dc tin nhắn bảo hành của Samsung. Thật tuyệt.,0
"Sản phẩm chính hãng, nguyễn seal, đóng gói cẩn thận. Mình đặt hôm qua, hnay đã nhận được hàng. Tks",0
"Điện thoại mà bọc hàng chán không chịu được, không có lót gì bên trong hộp, không đề hàng dễ rơi vớ. Cạch lazada đến già quả mua hàng đắt tiền thế này.",2
mới nhận sản phẩm 2 ngày. cảm quan khá ok. để xài thử vài hôm nữa xem sao. màu xanh nhìn đẹp hơn ảnh nhìu. sau 1 ngày đã được kích hoạt bảo hành. nói chung khá ưng. mỗi tội cảm biến vân tay hơi không nhạy 1 tẹo. phải để đúng vị trí nó mới chịu nhận dạng.,1
Săn được giá quá ok cho chiếc điện thoại đẹp. Mong lazada kích hoạt bảo hành điện tử giúp mình. Sử dụng được vài hôm rồi vẫn chưa thấy bảo hành điện tử.,0
"Điện thoại đúng hàng chính hãng, đóng gói cận thận và giao hàng rất chuyên nghiệp. Mình sẽ ủng hộ lần tiếp theo",0
hàng nguyên team xài tốt .thanks shop,0
"Điện thoại đẹp, chuẩn hàng chính hãng. Đóng gói cẩn thận. Rất hài lòng về sản phẩm",0
điện thoại chính hãng nguyên seal.nguyên hộp đẹp  . cảm ơn Lazada,0
nhân viên giao hàng mất lịch sự văng tục với khách. 15h30 gọi khách có ở nhà không để giao. đơn hàng tới khách lúc 22h30phut. goi điện thoại nhân viên giao hang không bắt máy. nhân viên giao hàng dùng nhieu số điện thoại để gọi cho khách. 22h đêm goi điện thoại giao. nc kiểu thách thức có nhận không. không nhân thi đi về. thiếu hợp tác khi thực hiên giao hàng(vi hàng không dc kiểm tra) nếu thai độ kiểu nay. sẻ không nhận hàng. vi sợ giả danh lừa đảo. vao kiểu lam ăn thiếu lể độ với khách. đóng gói không an toàn.,2
"đã sài máy 5 ngày rồi. ngoại hình  máy mới nguyên , cầm chắc tay, cứng cáp , ngoại hình đẹp , dùng mượt mà, chơi game ngon lành, sóng full vạch. shop làm ăn rât có tâm . thanks shop và lazada đã cho mình 1 sự trải nghiệm tuyệt vời....
mình mua của shop lần thứ 3 rồi mà con nào cũng ok hết.
shop này rất nên mua nè mọi người ơi...

CUỐI cùng mình chúc shop buôn may bán đắt , và sẽ   luôn luôn uy tín , chất lượng để phục vụ người tiêu dùng nhé. 5 sao",0
"đã nhận sản phẩm. 
mây sài rất ổn, mượt mà rất đã. với giá này thì mình hài lòng với chát lượng sản phẩm nhận được. máy chính hãng ngoại hình rất đẹp, màn hình đẹp, âm thanh hay, chơi game ổn, giá bán quá hợp lý không nói là quá rẻ nếu so về cấu hình máy. tư vấn nhiều tình, giao hàng nhanh. ưng cái bụng 🤗🤗🤗🤗🤗",0
"đẹp quá shop ơi 😍😍😍😍😍
quan trọng hơn là sản phẩm đúng chính hãng như shop giới thiệu. mà giá tốt quá trời . pin sài trâu lắm, máy chạy êm ru, các ứng dụng chạy rất mượt, chụp hình quay phim rất nét. màu máy rất đẹp. nói chung mọi chức năng hoạt động rất tốt. shop nhiệt tình, nhân viên phục vụ chuyên nghiệp.
rất hài lòng. Sẽ giới thiệu bạn bè ủng hộ shop nhiều nhiều... chúc shop đông khách",0
"em đã nhận được hàng của shop gửi. rất đẹp mắt, chất lượng không chê vào đâu được, cấu hình cao, mạnh so với giá tiền, mình test các chức năng thấy khá ổn. giá cả hợp túi tiền, mình khá vui vì nhận được sản phẩm đúng như quảng cáo. sẽ giới thiệu người thân ủng hộ shop 👍",0
"mượt hơn mình nghĩ
rất yên tâm khi mua hàng tại shop. tư vấn nhiệt tình và hàng rất chuẩn. mình đã cân nhắc và lựa chọn rất kĩ mới chọn shop để đặt niềm tin. và mình rất hài lòng",0
"Đã mua rất nhiều sản phẩm bên shop và rất ưng ý về chất lượng sản phẩm của shop, giao hàng nhanh , gửi đúng màu mình cần , tks shop nhiều ạ, nhỏ gọn mẫu mã đẹp rất chất lượng",0
"Đã mua của shop nhiều lần và rất hài lòng về chất lượng sản phẩm và cách tư vấn , shop hỗ trợ rất nhanh và nhiệt tình dù mình chỉ tham khảo về sản phẩm, shop  rát uy tín sẽ ủng hộ thêm shop nhiều, tặng shop 5 sao rát ưng ý về shop , chúc shop luôn luôn đắt hàng",0
"hàng dùng được, giao hàng nhanh, dùng rất ok:))) , bán hàng nhiệt tình , thêm điểm cộng cho shop, màu sắc giao đúng lựa chọn.máy nhỏ mini xinh ghê.mua cho con gái nhỏ đi học,sẽ ủng hộ tiếp.",0
"Điện thoại nhận được nhìn cute phô mai que quá shop :)))) chuẩn như quảng cáo lun ạ, sẽ ủng hộ nữa nha shop",0
"điện thoại xinh,dễ thương,nghe và gọi âm thanh cũng ổn ạ, Giao hàng chất lượng , shop uy tín và chất lượng và nhiệt tình",0
"mình vừa mới nhận hàng xong, máy mở không lên",2
"Chuẩn hàng apple mã VN/A full box, chưa active, lazada giao hàng rất nhanh, đặt hàng trưa ngày 25, sáng ngày 26 đã nhận được hàng. Lần đầu tiên mua hàng online với giá trị gần 20 triệu, đặt hàng xong hồi hộp, nhưng vẫn tin hàng chính hãng phân phối bởi Lazada. Đánh dấu 5 sao cho lazada. Mình thêm phần nhận xét này cho các bạn muốn mua hàng chính hãng với mức giá tốt.",0
"Hàng ok, nhưng thấy vỏ hộp có vết mực bi đánh dấu. Đã từng mua mấy 3 chiếc ip6 trên lazada đều không thấy có hiện tượng này. Lazada cần để ý hơn.",1
"Mua 25/2 mở ra thấy bị lỗi sơn viền. Chuyển đổi trả, gần nửa tháng trời. Cuối cùng kêu không có máy để đổi, trả lại tiền. Chờ thêm 5-15 ngày để được hoàn tiền.",2
Lazada giao hàng nhanh đặt hàng hàng hôm trước sáng hôm sau đã nhận được hàng sản phẩm đầy đủ phụ kiện nguyên seal đúng mã VN/A.,0
"Máy mã vn/a check active đủ ngày bảo hành, tuy nhiên khi mở hộp máy đã có vài vết cấn nhẹ ở cạnh viền không hiểu vì sao?? Đổi trả mất mấy ngày nữa nên tôi quyết định vẫn giữ lại dùng.",1
"mới đặt mua tối ngày 13/6 ngay đợt deal sale chỉ 19.740.000 đồng, rẻ thêm được xíu. sáng ngày 15/6 đã nhận được hàng - thật nhanh chóng. máy test mhá okđã kiểm tra thông tin onl, máy chính hãng, còn bảo hành 12 tháng, máy nguyên seal khi nhận",0
"Giao hàng đúng tiêu chuẩn. Nhưng nếu cần gấp thì nên ra cửa hàng mùa trực tiếp vì đợi mất 2-3 ngày. Hàng do lazada phân phối còn nguyên seal, chưa active, imei trùng khớp, hàng VN/A chuẩn, đẹp. Sẽ vẫn ủng hộ lazada, nhưng hi vọng sau này lazada có thể đẩy nhanh tiến độ giao hàng hơn nữa.",0
"Cũng hơi lo lắng khi mua 1 sản phẩm điện tử trực tuyến, nhưng mình hoàn toàn hài lòng khi nhận được sản phẩm. Trong vài ngày sử dụng thì sản phẩm khá ok. Và quan trọng là dịch vụ chăm sóc khách hàng khá ok, hỗ trợ nhiệt tình & chuyên nghiệp.
Điểm trừ là thời gian giao hàng hơi lâu xíu. ",1
"Mua trả góp nhưng cuối cùng Lazada làm ăn quá cẩu thả, không chuyển hồ sơ trả góp của khách qua ngân hàng, cuối cùng khách hàng là người thiệt thòi, không còn tin tưởng được Lazada",2
"Hàng đóng gói rất kỹ, shipper lịch sự gọi trước khi đến.
Điện thoại mã VN chuẩn, nguyên seal và máy rất đẹp. Giá tốt ",0
"Giao hàng đúng hẹn. Đóng gói không hài lòng. Điện thoại mới, không tì vết. Giá hợp lý (nhưng không phải đã là rẻ).  Mong dịch vụ bảo hành tốt.",1
Mình ở ngoài Hà Nội. Đặt sáng chiều hôm trước thì sáng sớm hôm sau có hàng luôn. Hàng đúng mô tả: chưa active - VN/A. Rất ưng cái bụng vì mua được hàng mới mà giá rẻ.,0
"Điện thoại nhận được còn nguyên seal.
sau khi thanh toán mở ra kiểm tra thì máy hoạt động tốt, nguyên bản chưa active. ",0
"Sản phẩm fullbox, chưa active. Sau khi activate, ngày bảo hành trên web của apple cập nhật đúng ngày. Có điều giao hàng hơi chậm, sau 4 ngày mơi giao. Giá khá tốt: rẻ hơn tgdđ và fptshop 4tr, lúc mua: 19.990.000",1
"Sản phẩm được đóng gói cẩn thận, giao hàng bởi LEX khá nhanh. Mã VN/A chưa kích hoạt. Mình mua lúc giá 19.990k, rẻ hơn sản phẩm chính hãng tại cửa hàng khác nhưng chất lượng tốt.",0
"Hàng chuẩn VN/A nhưng mà giao hàng hơi chậm, đặt thứ 7 nhưng giao thứ 3. Nếu cải thiện được thời gian giao hàng thì dịch vụ sẽ tốt hơn. Nếu có dịp sẽ ủng hộ tiếp Lazada",1
"Hàng chính hãng VN, mới chưa active giao hàng nhanh tuy nhiên góp ta thêm về cách đóng gói hàng với gói hàng là máy iphone 8 plus nhưng hộp không Có xốp chèn, chỉ Có hộp máy o trong được bọc 1 lớp nilong ngoài là hộp giấy như vậy ít an toàn",0
"Đơn phương hủy đơn hàng mà không thông báo trước, gửi mail thông báo lý do hủy đơn hàng không đúng sự thật.
Sau vụ này hoàn toàn mất niềm tin vào lazada.",2
"- Giao hàng chậm, liên tục thay đổi thời gian giao hàng dự kiến
- Hàng mã VN/A, chất lượng tốt, chưa active, thời gian bảo hành full 12 tháng
- Hàng được seal chắc chắn, nhưng phương cách đóng gói chưa chèn lót chắc chắn",1
Lazada giao hàng rất đúng hẹn. Sản phẩm chính hãng mã VN/A được đóng gói cẩn thận. Sau khi nhận hàng mình đã active máy và vẫn còn đủ 12 tháng bảo hành.,0
"Mới nhận được hàng hồi sáng, sản phẩm giao được đóng gói cẩn thận, chưa active. Vote for lazada giá tốt",0
"Quá thích luôn, nhận hàng sau 2 ngày mong chờ. KHui hàng mà hồi hộp gần chết, cuối cùng cũng nhận được em ấy, quá xinh đẹp, Đúng như Lazada quảng cáo nha các bạn, hàng mới 100% còn bảo hành đủ 12 tháng chính hãng. Đẹp mới rất thích luôn mà giá rẻ hơn ở ngoài tới 4tr",0
"Nhận hàng ngày thứ 2 , nhân viên tổng đài hỗ trợ rất tốt. Nhân viên giao hàng niềm nở, hàng giá trị cao nên niêm phong 2 lớp của lazada và seal apple. Rất yên tâm khi mua hàng ở lazada",0
"Tôi đặt hàng từ 20/2, đến hôm nay 26/2 mà vẫn chưa giao hàng. Gọi lên lazada bảo giao hàng chậm nhất là ngày 27/2. Nếu qua ngày 27/2 mà không giao hàng thì thực sự Lazada làm tôi quá thất vọng. Chưa bao giờ tôi thấy giao hàng chậm như lần đặt hàng này.",2
Minh nhận hàng được ba ngày! Lúc mới nhận hàng mới 100%! Kiểm tra active đúng ngày đập họp! Hiện minh đang dùng được ba ngày mọi chức năng đang rất Ok! Mình đang test hiệu năng của pin nữa! Hai ngày nay pin xài trọn 1 ngày với thời gian online là 10h/ ngày!,0
"Mua hàng mới 100% chính hãng VN/A nhưng mở hộp thì bị xước thân máy, mặc dù chưa active. Gửi đổi trả thì vướng Tết nên không có ai nhận, đành phải chờ qua Tết và không có máy mới để ăn Tết.",2
"Đặt hàng hôm trước, chiều hôm sau đã nhận được dù mình ở Vũng Tàu. Hàng nguyên seal, đầy đủ phụ kiện. Rẻ hơn ngoài shop 3 triệu. Đáng để mua và ủng hộ thương mại điện tử các bác ạ.",0
"đã nhận được hàng, máy đẹp nhưng active ngày 9/2/2018 mình check số serial trên trang web của hãng thì bảo hành đến ngày 16/01/2019. Mất 23 ngày.",1
"Mình đã mua và nhận máy Iphone 8 Plus trên Lazada, mã hàng VN/A. Nhưng cho hỏi tại sao khe sim không có số Imei. ?",1
"Giao nhanh, cần cầm CMND để lấy hàng. Hiện tại đã dùng 1 tuần và không có vấn đề gì, máy mới chưa active, bảo hành điện tử.",0
"Đặt hàng 26 thì 27 nhận được hàng.
Lúc nhận hàng thì nhân viên bảo kí nhận hàng mới cho kiểm tra bên trong, chỉ kiểm tra được đóng gói bên ngoài của Lazada nên cũng nghi ngờ đôi chút, cứ nghĩ bên trong là gạch hay nước suối. Vào checkthì điện thoại full box, chec imei chưa active.  
Mình mua trả góp 12 tháng ngân hàng HSBC, điện thoại lên lazada thì bảo liên hệ ngân hàng để làm hồ sơ trả góp, liên hệ ngân hàng thì ngân hàng bảo là từ ngày 24.1 là bên lazada tự động chuyển đổi hồ sơ trả góp không cần liên hệ ngân hàng, điện qua điện lại tới nay 2.1 rồi vẫn chưa có kết quả. Chăm sóc khách hàng có vẻ quá tệ
Sản phẩm 3 sao, dịch vụ thì mình cho 0 sao.",1
"Hiện tại mình thấy tốt, mã VN/A, nguyên seal của Lazada nhưng seal hộp thì không còn. Mình tin tưởng vào Lazada, hy vọng không có chuyện thay phụ kiện trong khi đóng hộp giao khách.",0
Cảm giác hồi hộp khi bỏ gần 20 củ mua hàng online nhưng khi nhưng được hàng nguyên seal xong phải quay clip khui hộp cho chắc cú nhưng thật sự quá hài lòng máy chuẩn đẹp zin đét từ củ sạc đến tai nghe cứ sợ bị tráo pkhôngnhưng test đúng chuẩn hàng theo máy.test máy đúng chưa active cho 5s lazada về chất lượng cũng như giao hàng khá nhanh tối đặt sáng đã giao máy.1 lần nữa cảm ơn lazada và sẽ tiếp tục ủng hộ.,0
"Đặt hàng hôm 23 mà tối 24 đã nhận máy. Mấy đóng gói cẩn thận nguyên seal chưa active. Chưa phát hiện lỗi gì cần thời gian test thêm, ổn trong tầm giá săn sale. Thanks y Lazada",0
"Giao hàng trong vòng 2 ngày, hàng chất lượng, đầy đu phụ kiện. Mình đã check IMEI và thong số máy, là hàng mới hoàn toàn và là hàng brand new không phải tân trang hay CPO. Với giá 19.990.000 là thấp nhất và đáng đồng tiền",0
"Mua hàng ol mãi nhưng mà chưa mua đồ giá trị cao thế này bao giờ nên cũng thấy lo. Nhưng lúc cậu nhân viên gọi điện lấy đồ thì còn dặn là mang cmt xuống hộ em vì em còn phải lấy thông tin. Mang xuống thì thấy 1 cái xe chở hàng khác hẳn mọi khi giao hàng, hỏi ra mới biết đây là xe chuyên giao hàng giá trị cao. Nhân viên giao hàng còn chụp ảnh cmt xong  cho mình kí vào máy tính bảng luôn. Lần đầu thấy giao hàng chuyên nghiệp đến thế :D Mình cũng chỉ bóc máy kiểm tra lấy lệ thôi vì thấy quá ổn với dịch vụ của lzd rồi",0
"- Máy mới nguyên seal, chưa active, mã VN/A
- Giao hàng nhanh, chưa đầy 24h đã có hàng
- Giá KM kết hợp mã giảm giá quá tốt",0
"Mới nhận máy xong, giao hàng siêu nhanh, mình đặt chiều hôm qua sáng nay đã có hàng trên tay, nguyên seal, màu gold đẹp lắm!",0
"Tình trạng hàng nhận nguyên cục có dán seal, nhân viên ship là cty ngoài nhưng nhiệt tình, free giao hàng.",0
"Đúng mã VN/A. Chỉ có mỗi tem niêm phong LZD.Mua xong buổi chiều, lắp ốp lưng không để ý. Giờ tháo ra đổi sim thì phát hiện vỏ khung nhôm, phía tren khay sim bị mẻ 2 cạnh .
Để chiều liên hệ đề nghị đổi - trả được không?",2
"Giao đúng thời gian trên đơn hàng
sản phẩm đúng mã VN của Apple VN, chưa active
Tuy nhiên active xong check trên apple thì chưa thành công, có thể do là T7",1
mình ở Quận 1. mua lúc 8h sáng. 10h có xác nhận đơn hàng. 2h chiều cùng ngày dã giao hàng. rất hài lòng,0
"Mới mua thêm cái nữa, vẫn nguyên seal mã vna rất ok. Hy vọng không có bất kì sự tráo phụ kiện gì ở đây",0
"Tuy giao hàng hơi chậm, nhưng sản phẩm nguyên seal, dùng tốt.",1
"sản phẩm đúng như mong đợi, đóng gói cẩn thận, có tem niêm phong lza, nguyên seal. an tâm mua hàng",0
"Đúng mô tả, giao hàng nhanh, đóng gói cẩn thận, giá cực rẻ
Hy vọng không có lỗi gì từ nhà sản xuất",0
"Sản phẩm nguyên seal, mua về khui mới kích hoạt apple. Giao hàng trong 48h từ lúc order.",0
"Sản phẩm chính hãng VN/A, giao hàng nhanh, giá khuyễn mãi cực tốt, rẻ hơn cả hàng xách tay",0
Ok,0
"Mới mua hôm trước 20,5tr thì hôm sau giảm 500k còn gần 20tr mà được thêm mã giảm giá.",1
"Sản phẩm tốt, giao hàng đúng hẹn. Mình dùng được gần 1 tháng rồi không có vấn đề gì ",0
"Sản phẩm này mình mua cái thứ 2 rồi, nhưng kì này lazada hơi ẩu không làm seal ",2
"Lần đầu tiên mua. Đóng gói cẩn thận,  giao hàng n . Kiểm tra chính hãng apple vn/a.",0
"Lazada giao hàng rất nhanh, đúng hẹn, sản phẩm 100% nguyên siêu, chưa kích hoạt.",0
"Hàng mới fullbox còn nguyên seal, dùng hơn 3 tháng chưa có vấn đề gì",0
"đúng hàng chuẩn công ty VN
bỏ sim vô mới có ngày kích hoạt bảo hành.",0
"Hàng chuẩn Apple, nguyên seal, emei chuẩn mà lại rẻ hơn FPt shop 5 triệu",0
"đã nhận được hàng, hàng còn nguyên vẹn. đẹp, giao hàng nhanh. good",0
"Hàng ngon nha mã v/n chính hãng nha, không phải hàng fake đâu 👍",0
"Máy đẹp, đúng hàng VN/A, bảo hành 1 năm. Giao hành nhanh, nguyên seal.",0
"Nguyên seal máy và seal lazada, các bạn có thể yên tâm khi mua ở đây nhé",0
"Hàng mới kiểu gì chưa xài đã hỏng, lại còn xước ! Tốn thời gian",2
"Hàng nguyên seal, chưa active, đúng hàng VN/A nhập, giao nhanh!",0
"máy tự tay active, dùng khá ổn, nhưng cảm giác pin tụt hơi nhanh",1
"giao hàng nguyên seal chưa active
giá còn rẻ hơn cửa hàng!",0
"điện thoại bền, ok ",0
Khi thực hiện cuộc gọi có tiếng rít rít bên trong loa rất khó chịu,2
"hàng nguyên seal, nguyên hộp. mã vn/a chưa active. hài lòng.",0
"Hàng chuẩn VN/a mới nguyên hộp đóng gói cẩn thận, giao hàng nhanh",0
"giao hàng nhanh, máy check chưa active, hàng mỹ, thanks shop!",0
"Giá tốt, mã VN/A chưa khui seal, chưa active. Giao hàng nhanh.",0
Điện thoại chính hãng mua trúng giảm giá.. quá ok 18740k,0
"giao hàng trễ 1 hôm nhưng chất lượng tuyệt vời, cảm ơn lazada",1
Máy dùng tốt. Mua hơn 6 tháng rồi sử dụng rất mượt,0
"Giao hàng nhanh và hàng chuẩn mã VNA, bảo hành 24/1/2019:)",0
Hàng chưa active. Đúng VN/A. Giá tốt. Giao nhanh. ,0
sản phẩm không được tốt đứng máy em cần lazada đổi sản phẩm  cho e ,2
"Giao hàng nhanh, sản phẩm sài ok, chưa thấy lỗi, nên mua!",0
"Đợt mình mua với giá quá rẻ, hàng chuẩn vn luôn nhé",0
"điện thoại dùng tốt, chưa có vấn đề gì, giao hàng nhanh",0
"hàng đúng như miêu tả, seal lazada + seal máy mã VN",0
"Fullbox, nguyên seal, giao nhanh trong ngày.",0
"Hàng công ty,máy chạy tốt. Thanks lazada",0
Máy chuẩn. Hiao hàng nhanh. Giá ok,0
"nhận hàng sớm,giá mềm, dùng ok",0
"Giao hàng nhanh, đúng chất lượng!",0
hàng chất lượng ,0
Sản phẩm còn nguyên seal. Giao hàng nhanh,0
"Đóng gói sản phẩm tốt, máy fullbox, chính hãng",0
"Hàng chất lượng, giá tốt , gói cẩn thận",0
mua về làm camera an ninh ổn phết,0
"Hàng OK, giao hàng nhanh, tận tình :)",0
"Điện thoại dùng ok,mượt!",0
"Sản phẩm đúng mô tả, giao hàng nhanh",0
"Hàng nguyên seal, chưa active. ",0
Giao hàng rất nhanh. Đúng hàng VN/A,0
"Giao hàng nhanh, dùng tốt",0
Tốt. Đúng hàng VN/a ,0
Hàng tốt rẻ đáng để mua,0
"sản phẩm tốt, chất lượng",0
Chưa thấy có lỗi gì,0
Rất hài lòng ,0
Hàng quá chuẩn.,0
"Hàng chính hãng, ok.",0
Hàng xài ổn,0
Hàng chuẩn.,0
"Hàng mới 100%, màu gold đúng như đơn hàng đã đặt, đã dùng thử 1 tuần chất lượng rất tốt.",0
"Sản phẩm đẹp, không trầy xước, chưa active,
Giao hàng mất 3 ngày",0
"Mua hàng đến ngày thứ 5 mới nhận được, nút tắt mở âm thanh thì lỏng lẻo chả nhẽ đổi trả, hãi",2
Sản phẩm chính hãng apple vn. Giao hàng nhanh.,0
Hàng chính hãng. Chưa active. Giao hang sớm hơn dự kiến. Thanks lazada.,0
Giá chưa tốt lắm... nhưng sản phẩm chất lượng chính hãng,1
"Hàng chính hãng VN/A, gói hàng cẩn thận. Hàng mới chưa active. Giao hàng nhanh. Thanks Lazada",0
"mặt kính sau bị xước nhỏ, mặt kính không đều",1
"Sản phẩm đã được active 2 tháng trước, yêu cầu được đổi hàng",2
"đặt hôm qua, hôm nay đã nhận được, kiểm tra không trầy xước",0
"Đóng gói cẩn thận, nguyên hộp chưa khui, niêm phong chắc chắn",0
"Máy chuẩn,nguyên seal,giao nhanh,để test vài bữa xem thế nào!",0
"Hàng chuẩn vn/a 
Giao hàng nhanh gọn",0
tốt,0
Tuyệt vời,0
uy tín,0
Tốt ,0
Mua đi mọi người ơi. Máy đẹp vô cùng luôn. Cảm ơn shop làm ăn uy tính. Lần sau sẽ ủng hộ shop tiếp. Và mời mọi người mua ủng hộ shop luôn. Chúc shop buôn may bán đất nhé,0
"Máy rất mới, như mới sx vậy, pin còn 81% là tất nhiên, đều zin. Hy vọng shop có bản 128gb để mình ủng hộ lần 2, và có thêm option kèm dán cường lực.",0
"Không biết chê chỗ nào luôn. Máy đẹp, không lỗi lầm, shop nhiệt tình. Đóng hàng cẩn thận và chuyên nghiệp, có seal đầy đủ, đảm bảo không lỗi khi vận chuyển.",0
"máy đẹp đáng mua shop cam kết zin nguyên bản nhắn tin hỗ trợ tư vấn nhiệt tình 
mình đã dùng 3 hôm rồi mới viết đánh giá. máy mượt chiến game mượt mà liên quân pubg quá ok",0
"Đóng gói: kỹ
Máy: mới, pin 83%, cài sẵn ios 13.3
chưa lắp sim nữa nên không biết sao!!
nói chung là ok cho shop 5 sao trước",0
"Máy ngoại hình 99% , full chức năng nhưng tiếc là máy chỉ còn 80% pin nên tuột hơi nhanh , mình mua lần này là 2 lần rồi thấy máy lần nào cũng đẹp, 😘😍",1
"Máy có vài xước nhỏ sau lưng nhưng tổng thể  máy đẹp, mượt. Giao đúng màu và dung lượng. 
Pin còn 96%. ",1
"giao hàng nhanh. sản phẩm đẹp
như mới.
test xong cảm thấy quá tốt.
định mua thử dù j cũng chỉ làm máy phụ
nhưng quá hài lòng",0
shop rất uy tín mua của shop 2 lần đều rất hài lòng.sản phẩm quá tốt.cảm ơn shop nhiều ạ.sẽ ủng hộ shop lâu dài.. 😘😘😘,0
điện thoại đẹp sẽ ủng hộ shop 👍,0
"mới nhận hàng nhìn tổng quan và trải nghiệm sản phẩm rất OK, phải chi có cây chọc sim thì tuyệt vời hơn.",0
"Hàng mới nguyên, thử rất ổn.",0
"Máy đẹp lắm nha mọi người, mọi chức năng okhết. Tks shop nhiều",0
Đã nhận được máy.nói chung máy tốt nhé.hjhj,0
sản phẩm quá tuyệt vời.tiếc là đã lên ios 13.3.cảm ơn shop rất nhiều.sẽ ủng hộ shop trong thời gian tới.,0
